Pipe DN,Pipe Schedule,Lumped Mass,Flange Class,Length,Length2
50,40,0,150,3.0642147650631886,4.131666921954697
50,40,0,150,4.519254521174265,1.479312958549521
50,40,0,150,4.490194428531128,3.003682839980625
50,40,0,150,4.1344361433461145,0.7664998110889372
50,40,0,150,0.46868105239921043,4.028504853301328
50,40,0,300,3.5512606342667543,3.016204495988443
50,40,0,300,2.0798004274254183,3.564758783429667
50,40,0,300,2.737001443605979,1.0078782098985497
50,40,0,300,3.392371888126421,4.560757814409639
50,40,0,300,1.2110960240498572,4.006868074577572
50,40,0,600,1.5798870897129444,3.0045960755109204
50,40,0,600,3.677447887925479,4.411412567195829
50,40,0,600,3.9801169644573493,1.0673338817438902
50,40,0,600,4.296539906942479,2.312812602848567
50,40,0,600,3.9436510017735045,2.5898986038112097
50,40,25,150,0.47232224017910307,0.864255134604468
50,40,25,150,0.8484605551246072,2.362507894957566
50,40,25,150,3.8310192875921945,4.781932625933093
50,40,25,150,1.4243256161381646,4.356477115251285
50,40,25,150,1.4975882655280899,2.113086897155271
50,40,25,300,4.330839996497883,4.304278049635154
50,40,25,300,4.763961422737223,1.1087889217309965
50,40,25,300,2.9399282326524423,3.475389163202586
50,40,25,300,1.1402684432948897,3.096331274944409
50,40,25,300,3.9201840857504813,3.4608985754618633
50,40,25,600,2.6141908861883825,0.48052216915940626
50,40,25,600,3.266889408148663,2.1552365193336325
50,40,25,600,4.245640237694418,0.8264435568235606
50,40,25,600,2.4668851625744246,3.3731970878180615
50,40,25,600,2.640318344544334,3.388005314909316
50,40,50,150,3.493232252500279,4.619400288496933
50,40,50,150,3.3586937963796513,2.2823234310604024
50,40,50,150,1.5633376220984643,0.5897362192743439
50,40,50,150,0.6164259346133834,3.7077692255890042
50,40,50,150,3.925792150285245,3.6724247548937274
50,40,50,300,2.5606254218083353,4.2391934366683035
50,40,50,300,1.8472701163481398,2.994132322462752
50,40,50,300,2.7000129640232133,3.7897891038296083
50,40,50,300,1.539055494702267,2.0947073146479167
50,40,50,300,1.7594042852175977,2.3876955982927885
50,40,50,600,3.246211157266845,0.5764134778946355
50,40,50,600,2.9200141096897276,3.2733751782540423
50,40,50,600,1.7973239300250694,4.386292188997532
50,40,50,600,2.1557631380346085,3.445387196650666
50,40,50,600,1.5124805535663703,1.9777406315560577
50,40,100,150,3.0365332794405133,1.1173865030440968
50,40,100,150,1.0596549390858006,2.5476937833881
50,40,100,150,3.1112289528955928,4.343173233299247
50,40,100,150,4.181370813103248,3.6790944587971066
50,40,100,150,1.035041077001452,4.052498370607048
50,40,100,300,3.7512124407901495,1.9374293792425548
50,40,100,300,2.2206241307704646,1.060283895926631
50,40,100,300,3.9598331505076514,2.4418336079162235
50,40,100,300,4.07866166777174,4.369393368514908
50,40,100,300,3.9945357845761986,3.922378869673321
50,40,100,600,3.0837489876823208,2.6979773472383215
50,40,100,600,3.4230992532803355,1.8509888784557231
50,40,100,600,3.3388662478453623,3.4547763532017814
50,40,100,600,2.300491451131039,3.8023532004772846
50,40,100,600,2.7137711686613932,0.9343378589053526
50,40,250,150,2.655911865465657,0.644474461654666
50,40,250,150,0.4742939113183562,2.3165631233636246
50,40,250,150,3.6281456473531155,3.2741280573789044
50,40,250,150,3.2160238210199448,2.3380081449093306
50,40,250,150,3.9557001127010416,1.6374056319124997
50,40,250,300,2.4592244885450327,4.687968560242639
50,40,250,300,2.085086107101894,3.7986998066098505
50,40,250,300,1.6718933567024894,3.1254188119240682
50,40,250,300,2.9189756536888627,1.7029305255277858
50,40,250,300,0.6955689279784062,3.764851757669751
50,40,250,600,3.267023844977016,3.038188639170365
50,40,250,600,4.7394812932257295,3.250386357683727
50,40,250,600,4.488816414216771,2.4812856915834285
50,40,250,600,4.4293381248879395,4.663704892901566
50,40,250,600,1.9203326469328788,2.609749165264315
50,40,500,150,3.604572500597258,1.2013863169105388
50,40,500,150,2.7784867422539588,3.40629576820481
50,40,500,150,3.3987896912286764,4.799607987591416
50,40,500,150,1.5609659782729846,3.5949805216483273
50,40,500,150,3.1565052732659487,3.864032824775362
50,40,500,300,0.5263396390687137,3.7876705548848597
50,40,500,300,3.5688530052943377,0.7093184611924237
50,40,500,300,1.7065778249613957,1.9077205971119586
50,40,500,300,1.078487108059662,2.608440791553245
50,40,500,300,1.8615841185794508,4.93801141306995
50,40,500,600,1.077557403875053,4.987839238267675
50,40,500,600,4.598798510710899,2.08605697624483
50,40,500,600,1.6349175278249801,2.589086805415813
50,40,500,600,0.8057541447512058,2.4908867296641657
50,40,500,600,0.8499083200936952,0.9120466238604406
50,STD,0,150,3.850960914340011,3.0730821524148135
50,STD,0,150,4.242803953520542,2.4827507271812927
50,STD,0,150,0.46702402535608883,1.3463877449119688
50,STD,0,150,0.8707857180635099,2.58312093792979
50,STD,0,150,4.487737858799169,1.1153611177889242
50,STD,0,300,2.7209335009407702,0.9147957572435259
50,STD,0,300,4.6447693546547075,1.3965760230922937
50,STD,0,300,3.031840359639388,2.864184127225329
50,STD,0,300,3.9343050203400987,3.70800913020574
50,STD,0,300,2.286581403421292,0.8195956110230187
50,STD,0,600,4.179684330941391,1.5854019231019645
50,STD,0,600,2.11140144011919,3.833197226595717
50,STD,0,600,1.9654260225839237,4.650621674431736
50,STD,0,600,2.311969055551686,3.45655186838633
50,STD,0,600,2.15680635330327,4.316152054246048
50,STD,25,150,4.269759656493183,4.487767620611896
50,STD,25,150,2.056971903065935,0.9800528728102857
50,STD,25,150,2.046430588073798,4.982150220086729
50,STD,25,150,2.2549319026354766,3.5691702572412525
